# X in mm; Y in mm; U in mm; V in mm; Log. Strain YY
-5.833000000000000185e+00; 0.000000000000000000e+00; 1.488024409553151128e-01; 3.000000000000003109e+00; 7.442678623671163118e-02
-5.000000000000000000e+00; 0.000000000000000000e+00; 1.263881188119539700e-01; 3.000000000000003109e+00; 7.436834988540139135e-02
-4.166999999999999815e+00; 0.000000000000000000e+00; 1.045145403183109639e-01; 3.000000000000003553e+00; 7.432015914082282237e-02
-3.333000000000000185e+00; 0.000000000000000000e+00; 8.306300349427944707e-02; 3.000000000000003553e+00; 7.428150078000811396e-02
-2.500000000000000000e+00; 0.000000000000000000e+00; 6.199346525243386308e-02; 3.000000000000003553e+00; 7.425194580562707869e-02
-1.667000000000000037e+00; 0.000000000000000000e+00; 4.118988164230805854e-02; 3.000000000000003109e+00; 7.423108220413679459e-02
-8.329999999999999627e-01; 0.000000000000000000e+00; 2.053841466621494222e-02; 3.000000000000002220e+00; 7.421865304356391191e-02
0.000000000000000000e+00; 0.000000000000000000e+00; -9.549884224332781950e-16; 3.000000000000001776e+00; 7.421453197090488452e-02
8.329999999999999627e-01; 0.000000000000000000e+00; -2.053841466621647224e-02; 3.000000000000001776e+00; 7.421865304356439763e-02
1.667000000000000037e+00; 0.000000000000000000e+00; -4.118988164231005694e-02; 3.000000000000001776e+00; 7.423108220413719704e-02
2.500000000000000000e+00; 0.000000000000000000e+00; -6.199346525243555617e-02; 3.000000000000002220e+00; 7.425194580562638480e-02
3.333000000000000185e+00; 0.000000000000000000e+00; -8.306300349428111240e-02; 3.000000000000001332e+00; 7.428150078000861356e-02
4.166999999999999815e+00; 0.000000000000000000e+00; -1.045145403183128374e-01; 3.000000000000000888e+00; 7.432015914082278074e-02
5.000000000000000000e+00; 0.000000000000000000e+00; -1.263881188119563292e-01; 3.000000000000000000e+00; 7.436834988540239055e-02
5.833000000000000185e+00; 0.000000000000000000e+00; -1.488024409553175831e-01; 2.999999999999999556e+00; 7.442678623671161731e-02
6.666999999999999815e+00; 0.000000000000000000e+00; -1.718810142206606550e-01; 2.999999999999999556e+00; 7.449639265524539422e-02
7.500000000000000000e+00; 0.000000000000000000e+00; -1.956668159880178837e-01; 3.000000000000000000e+00; 7.457811836298755548e-02
8.333000000000000185e+00; 0.000000000000000000e+00; -2.202890044444720252e-01; 3.000000000000001332e+00; 7.467343682639679403e-02
9.166999999999999815e+00; 0.000000000000000000e+00; -2.458851376240723252e-01; 3.000000000000000444e+00; 7.478418211449712472e-02
1.000000000000000000e+01; 0.000000000000000000e+00; -2.725056694555914039e-01; 3.000000000000002220e+00; 7.491227339138295527e-02
1.083300000000000018e+01; 0.000000000000000000e+00; -3.002994162031992209e-01; 3.000000000000002220e+00; 7.506052248245245750e-02
1.166699999999999982e+01; 0.000000000000000000e+00; -3.294293182139510501e-01; 3.000000000000002665e+00; 7.523243517158811899e-02
1.250000000000000000e+01; 0.000000000000000000e+00; -3.599635515590510204e-01; 3.000000000000003109e+00; 7.543177934852500488e-02
1.333300000000000018e+01; 0.000000000000000000e+00; -3.920876594961837380e-01; 3.000000000000002665e+00; 7.566378124821139528e-02
1.416699999999999982e+01; 0.000000000000000000e+00; -4.260116524823859274e-01; 3.000000000000002220e+00; 7.593507849764791207e-02
1.500000000000000000e+01; 0.000000000000000000e+00; -4.618439387853526812e-01; 3.000000000000001776e+00; 7.625280569190383273e-02
